Well,Genotype,Treatment,Inoculate,Use
B2,S. cerevisiae,hiPi,stationary,T
B3,S. cerevisiae,hiPi,stationary,T
B4,S. cerevisiae,hiPi,stationary,T
B5,S. cerevisiae,hiPi,stationary,T
C2,C. glabrata,hiPi,stationary,T
C3,C. glabrata,hiPi,stationary,T
C4,C. glabrata,hiPi,stationary,T
C5,C. glabrata,hiPi,stationary,T
D2,K. lactis,hiPi,stationary,T
D3,K. lactis,hiPi,stationary,T
D4,K. lactis,hiPi,stationary,T
D5,K. lactis,hiPi,stationary,T
E2,C. albicans,hiPi,stationary,T
E3,C. albicans,hiPi,stationary,T
E4,C. albicans,hiPi,stationary,T
E5,C. albicans,hiPi,stationary,T
B7,S. cerevisiae,noPi,stationary,F
B8,S. cerevisiae,noPi,stationary,F
B9,S. cerevisiae,noPi,stationary,F
B10,S. cerevisiae,noPi,stationary,F
C7,C. glabrata,noPi,stationary,F
C8,C. glabrata,noPi,stationary,F
C9,C. glabrata,noPi,stationary,F
C10,C. glabrata,noPi,stationary,F
D7,K. lactis,noPi,stationary,F
D8,K. lactis,noPi,stationary,F
D9,K. lactis,noPi,stationary,F
D10,K. lactis,noPi,stationary,F
E7,C. albicans,noPi,stationary,F
E8,C. albicans,noPi,stationary,F
E9,C. albicans,noPi,stationary,F
E10,C. albicans,noPi,stationary,F
